"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
269527,151512,130,285663,169549,139,2516,1271,33,3.58909,861,654,0,115,134,0,666,351,0,4553,2765,49,1.46987
344193,219673,125,133258,88678,124,1704,953,0,-0.410765,603,408,0,53,69,0,265,156,0,2392,1516,31,1.47091
291929,203518,122,119221,80315,118,716,360,0,0.589377,287,278,0,-55,59,0,232,133,0,1401,943,0,1.47091
311514,223104,124,102247,74518,116,245,276,0,1.58952,217,202,0,34,70,0,32,81,0,1109,737,0,1.47195
203906,151998,113,152080,116393,111,654,408,0,2.58966,448,349,0,134,124,0,293,169,0,1997,1479,25,1.48131
641470,328563,168,360832,193119,168,4574,2315,51,3.59122,1638,1157,14,62,76,0,830,411,0,6731,3101,68,1.50107
129887,98092,110,183006,132493,113,123,87,0,-0.40864,322,325,0,-100,51,0,143,108,0,1564,1237,15,1.50627
264659,193188,135,143743,97903,120,980,641,0,-0.407932,343,307,0,125,101,0,203,167,0,1781,1172,18,1.52188
163043,91306,125,275876,153201,131,420,278,0,1.59235,955,834,0,-134,48,0,657,359,0,4480,2756,48,1.52916
256058,180995,137,148250,97651,127,1623,798,0,-0.406516,235,315,0,-1,86,0,226,129,0,1356,910,0,1.55725
